"created_at","text","favorite_count","mentions_user_id","hashtags","place_full_name","id"
2022-06-16,"June 16, 2022 #TheBachelorette Michelle Young &amp; Nayte BREAKUP RUMOR Circulating https://t.co/QJYqKIbTaF via @YouTube",0,"x10228272","TheBachelorette",,43
2022-06-16,"I need a picture or video of Gabby @GabrielaWindey in her denim ensemble.
The outfit she wore to meet the fans.
Can anyone help??!
@BacheloretteABC #TheBachelorette #TheBachelor #BachelorNation",0,"x1470452718191857665 x288309667","TheBachelorette TheBachelor BachelorNation",,44
2022-06-16,"Who is Gabby Kissing in the last slide in this Video ??? 
Help a Super fan out #BachelorNation #TheBachelorette #TheBachelor !!! ❤️🎈 https://t.co/Cwiu6DEwCX",0,,"BachelorNation TheBachelorette TheBachelor",,45
2022-06-16,"@zacharyreality So who gets the house #TheBachelorette paid for?",10,"x4531236675","TheBachelorette",,46
2022-06-16,"#TheBachelorette  @BacheloretteABC Couples Now: Who did @BacheloretteABC stars &amp; their winners ultimately end up marrying? Where are they now? (PHOTOS) https://t.co/RoYiwrC491",0,"x288309667 x288309667","TheBachelorette",,47
2022-06-16,"#TheBachelorette  @andi_dorfman slams dual female @BacheloretteABC stars for Season 19, @JoelleFletcher &amp; @beccatilley5 also react https://t.co/bs887vUOyE",0,"x2697305088 x288309667 x423723318 x31047270","TheBachelorette",,48
2022-06-16,"Word on the street Michelle &amp; Nayte broke up y’all #TheBachelorette #BachelorNation https://t.co/tAMdKgTim9",1,,"TheBachelorette BachelorNation",,49
2022-06-16,"Ashley Iaconetti &amp; Jared Haibon Blasted For ‘Cringe’ Instagram Ad #bachelorinparadise #thebachelor #thebachelorette #bachelornation #cringe https://t.co/qwWcoOYvrT",0,,"bachelorinparadise thebachelor thebachelorette bachelornation cringe",,50
2022-06-15,"Andi Dorfman Isn't Digging Having Two 'Bachelorette' Leads #thebachelor #thebachelorette #bachelornation https://t.co/GDOwJHLjF0",0,,"thebachelor thebachelorette bachelornation",,51
2022-06-16,"What Becca Kufrin Hopes Fans Take From Her Untraditional Proposal #thebachelor #thebachelorette #bachelorinparadise #bachelornation  https://t.co/vVgo2g7HeS",0,,"thebachelor thebachelorette bachelorinparadise bachelornation",,52
2022-06-15,"‘BIP’: Mari Pepin SHOCKS Fiance With Pregnancy Announcement? #thebachelor #thebachelorette #bachelorinparadise #bachelornation https://t.co/AkelLPuoBG",0,,"thebachelor thebachelorette bachelorinparadise bachelornation",,53
2022-06-13,"Tayshia Adams Embraces Summer With Delicious Leggy Display #thebachelor #thebachelorette #bachelornation https://t.co/6KJepA5X2q",0,,"thebachelor thebachelorette bachelornation",,54
2022-06-12,"'Bachelor' Alum Haley Ferguson Married Man Of Her Dreams #thebachelor #thebachelorette #bachelorinparadise #bachelornation https://t.co/UjYcc2HyuF",0,,"thebachelor thebachelorette bachelorinparadise bachelornation",,55
2022-06-13,"Tayshia Adams Teases Hint Of Cleavage In Black Sports Bra #thebachelorette #thebachelor #bachelornation https://t.co/llim8SfDUe",1,,"thebachelorette thebachelor bachelornation",,56
2022-06-16,"'The Bachelorette’ More Work, Less Fun? Katie Thurston Spills The Tea #thebachelorette #thebachelor #bachelornation  https://t.co/GovDEaJRYI",0,,"thebachelorette thebachelor bachelornation",,57
2022-06-13,"Jade Roper Reveals How She &amp; Tanner Tolbert Keep Their Marriage Alive #thebachelor #thebachelorette #bachelornation https://t.co/LSJQjC0D5b",0,,"thebachelor thebachelorette bachelornation",,58
2022-06-12,"Lauren Bushnell, Chris Lane Already Talking Baby #3, Here’s Why #thebachelor #thebachelorette #bachelornation   https://t.co/PBVA7F6Va7",0,,"thebachelor thebachelorette bachelornation",,59
2022-06-16,"Raven Gates Dishes On Baby Number 2 Plans  #thebachelor #thebachelorette #bachelorinparadise #bachelornation https://t.co/V5Yo1cNkw1",0,,"thebachelor thebachelorette bachelorinparadise bachelornation",,60
2022-06-16,"Becca Kufrin Has A First With Thomas Jacobs, What Is It? #thebachelor #thebachelorette #bachelornation  https://t.co/GOCfUTiQL8",0,,"thebachelor thebachelorette bachelornation",,61
